Date,Open,High,Low,Close,Adjusted_close,Volume
2018-06-11,101.3700,101.5900,100.6700,101.0500,101.0500,23490894.00
2018-06-12,101.1000,101.4493,100.7500,101.3100,101.3100,18325228.00
2018-06-13,101.7200,102.0100,100.5600,100.8500,100.8500,29492875.00
2018-06-14,101.6500,102.0300,101.0000,101.4200,101.4200,25691800.00
2018-06-15,101.5100,101.5300,100.0700,100.1300,100.1300,65587700.00
2018-06-18,100.0100,101.1100,99.4200,100.8600,100.8600,23586000.00
2018-06-19,99.6500,101.0000,99.5000,100.8600,100.8600,28653100.00
2018-06-20,101.3700,102.5200,101.1200,101.8700,101.8700,26180800.00
2018-06-21,102.0800,102.4600,100.8800,101.1400,101.1400,23198200.00
2018-06-22,100.4100,100.7700,99.6300,100.4100,100.4100,38844200.00
2018-06-25,100.0000,100.1100,97.3000,98.3900,98.3900,35433300.00
2018-06-26,98.8200,100.0800,98.7500,99.0800,99.0800,26897200.00
2018-06-27,99.5800,100.0200,97.4000,97.5400,97.5400,31298400.00
2018-06-28,97.3800,99.1100,97.2600,98.6300,98.6300,26650700.00
2018-06-29,98.9300,99.9100,98.3300,98.6100,98.6100,27556900.00
2018-07-02,98.1000,100.0600,98.0000,100.0100,100.0100,19564500.00
2018-07-03,100.4800,100.6300,98.9400,99.0500,99.0500,14670300.00
2018-07-05,99.5000,99.9200,99.0300,99.7600,99.7600,18977400.00
2018-07-06,99.8900,101.4300,99.6700,101.1600,101.1600,18879200.00
2018-07-09,101.6500,102.2500,101.2500,101.8500,101.8500,18212000.00
2018-07-10,102.0000,102.5100,101.8600,102.1200,102.1200,19293100.00
2018-07-11,101.1500,102.3400,101.1000,101.9800,101.9800,19644600.00
2018-07-12,102.7700,104.4100,102.7300,104.1900,104.1900,24335900.00
2018-07-13,104.3700,105.6000,104.0900,105.4300,105.4300,24635200.00
2018-07-16,105.4000,105.8200,104.5200,104.9100,104.9100,21786900.00
2018-07-17,104.6100,106.5000,104.3200,105.9500,105.9500,25901700.00
2018-07-18,105.9400,106.0500,104.7200,105.1200,105.1200,29493900.00
2018-07-19,104.9300,105.3100,103.8900,104.4000,104.4000,40171600.00
2018-07-20,108.0800,108.2000,106.0800,106.2700,106.2700,56004000.00
2018-07-23,106.3000,108.1400,106.1300,107.9700,107.9700,29707000.00
2018-07-24,108.5700,108.8200,107.2600,107.6600,107.6600,26316600.00
2018-07-25,107.9600,111.1500,107.6000,110.8300,110.8300,30702100.00
2018-07-26,110.7400,111.0000,109.5000,109.6200,109.6200,31372100.00
2018-07-27,110.1800,110.1800,106.1400,107.6800,107.6800,36920300.00
2322
